Movie_id,year,title,genre
1087,1994.0,Monkey Trouble,
12404,1994.0,Uncovered,
10831,1972.0,The Thing With Two Heads,
14781,2004.0,"Ron White: They Call Me ""Tater Salad""",
4937,1995.0,Chinese Odyssey 1: Pandora's Box,
11312,1998.0,Mystery Kids,
4339,2000.0,Shadow of the Vampire,
15737,1982.0,Dario Argento Collection: Vol. 3: Tenebre,
737,2004.0,Great Pas de Deux,
102,2004.0,Notre Musique,
7519,2002.0,In Search of Ancient Ireland,
7076,2002.0,Ted Bundy,
7317,1996.0,Dark Secrets,
13968,1984.0,The Bostonians,
16826,1999.0,Sarah Brightman: One Night in Eden,
12598,1974.0,The Odessa File,
4027,1988.0,Police Academy 5: Assignment - Miami Beach,
3270,1993.0,Where the Rivers Flow North,
1348,2000.0,The Last Stop,
5761,2001.0,Dawson's Creek: Season 5,
9614,1979.0,Rocky II,
248,2001.0,Michael Moore's The Awful Truth: Season 2,
3288,1978.0,Wonder Woman: Season 3,
13048,1969.0,Battle of Britain,
15534,2001.0,Inu-Yasha: The Movie: Affections Touching Across Time,
8967,1978.0,Dead Kennedys: The Early Years Live,
5514,1999.0,Boy's Choir,
5419,1991.0,Cirque du Soleil: Nouvelle Experience,
17105,2000.0,Markova,
5059,1981.0,Outland,
14703,2004.0,ABBA: Super Troupers,
15883,1997.0,National Geographic: Tigers of the Snow,
11068,1996.0,Prime Suspect 5,
6680,2004.0,Galaxy Angel,
13972,2000.0,The Films of Charles & Ray Eames,
17209,1994.0,Holy Matrimony,
1163,1984.0,2010: The Year We Make Contact,
1721,2002.0,Waking Up in Reno,
15268,1985.0,The Hills Have Eyes 2,
7108,2005.0,Candide,
7052,2004.0,Masters of Poker: Vol. 1: Phil Hellmuth's Million Dollar Poker System,
17437,2004.0,Appleseed,
972,2003.0,Ben Harper: Live at the Hollywood Bowl,
15330,1957.0,Kronos,
10394,1973.0,The World's Greatest Athlete,
8214,2004.0,Wing Chun: Fighting Art,
11132,2003.0,The Texas Chainsaw Massacre,
9611,1959.0,Anatomy of a Murder,
11301,1973.0,The Wicker Man,
7668,2004.0,NFL Films Super Bowl Collection: Super Bowl XI-XX,
16992,1996.0,Emma,
4389,2003.0,A Man Apart,
4716,1970.0,Lovers and Other Strangers,
12005,1984.0,Iceman,
13814,1999.0,The Castle,
8394,2001.0,Marilyn Manson: Birth of the Anti-Christ,
14180,2005.0,Shackles,
14482,1995.0,12 Monkeys,
2821,1985.0,Twice in a Lifetime,
11636,1997.0,Chuck Close: A Portrait in Progress,
14242,1966.0,Alfie,
13713,1969.0,Dark Shadows: Vol. 12,
13322,2000.0,Escape Under Pressure,
2010,1963.0,The Courtship of Eddie's Father,
7535,1980.0,Sergeant Cribb: Set 1,
15773,2003.0,Aqua Teen Hunger Force: Vol. 3,
15438,2004.0,The Off Season,
10428,1984.0,Splash: 20th Anniversary Edition,
2361,2002.0,Sex,
7592,2001.0,The Surge,
7145,1984.0,Star Trek III: The Search for Spock,
10248,1999.0,Taxman,
11718,1988.0,Rent-A-Cop,
14942,1995.0,Unzipped,
15679,1994.0,Clerks: Bonus Material,
5504,1976.0,Charlie's Angels: Angels Under Covers,
14337,1988.0,Qayamat Se Qayamat Tak,
7018,2000.0,Baby Van Gogh,
16475,2002.0,Barney: Let's Go to the Zoo,
903,2000.0,Hamlet,
10187,2002.0,Lenny Kravitz: Live,
11137,1996.0,Bogus,
3834,2004.0,Straight Men and the Men Who Love Them,
13049,2002.0,The Jimmy Show,
2639,1999.0,Dragon Tales: We Can Work It Out,
13366,1989.0,For All Mankind,
10971,1949.0,Thieves' Highway,
11233,1975.0,Baretta: Season 1,
6099,1979.0,Apocalypse Now,
4187,1984.0,Hot Dog: The Movie,
6700,1997.0,Fallen Angel,
796,1976.0,Rabid,
5946,1977.0,Saturday Night Fever,
6175,1981.0,A Fine Romance: Set 1,
16219,2004.0,Baby for Sale,
11251,2002.0,Porn Theatre,
5083,1986.0,The Worst Witch,
968,1993.0,Dottie Gets Spanked,
11948,1973.0,Heavy Traffic,
11996,1972.0,Black Mama,
10896,2000.0,Errol Morris' First Person: The Complete Series,
3972,1984.0,Police Academy: Special Edition,
7627,2003.0,Once Upon a Time in Mexico,
14874,1980.0,Spetters,
3845,2005.0,Desperate Souls,
